Date,Open,High,Low,Close,Volume
11/09/2017,70.269997,72.741997,70,72.737999,38335500
12/09/2017,72.898003,73.751999,72.080002,72.550003,29864500
13/09/2017,72.764,73.613998,71.917999,73.246002,20926000
14/09/2017,72.865997,75.592003,72.526001,75.528,36012500
15/09/2017,74.902,76,74.540001,75.961998,27102500
18/09/2017,76.050003,77.921997,75.536003,77,35940000
19/09/2017,76,76.477997,74.713997,75.019997,32259500
20/09/2017,74.599998,75.650002,74.213997,74.781998,24595500
21/09/2017,74.980003,75.365997,72.902,73.295998,23091000
22/09/2017,73.297997,73.980003,70.176003,70.218002,40797000
25/09/2017,70.629997,71.494003,68.575996,68.998001,38029500
26/09/2017,70.185997,70.248001,68.18,69.050003,35781500
27/09/2017,69.980003,70.297997,68.099998,68.194,30301500
28/09/2017,67.975998,68.550003,67.080002,67.919998,26598000
29/09/2017,68.372002,68.935997,67.720001,68.220001,25535500
02/10/2017,68.503998,68.739998,67.101997,68.306,26434000
03/10/2017,67.18,69.709999,66.255997,69.627998,50768000
04/10/2017,70.25,71.723999,69.919998,71.001999,40817500
05/10/2017,71.199997,71.487999,70.269997,71.066002,20858500
06/10/2017,70.620003,72.019997,70.449997,71.375999,21487500
09/10/2017,69.93,70.349998,68.533997,68.587997,37468500
10/10/2017,69.360001,71.125999,69.106003,71.117996,34892500
11/10/2017,70.778,71.519997,70.230003,70.919998,22504000
12/10/2017,70.589996,71.956001,70.528,71.136002,20435000
13/10/2017,71.396004,71.697998,70.736,71.113998,17702500
16/10/2017,70.751999,70.896004,69.431999,70.120003,26877500
17/10/2017,70.181999,71.244003,70.014,71.150002,16466500
18/10/2017,71.194,72.599998,70.825996,71.93,24695500
19/10/2017,71.112,71.43,69.639999,70.362,25309000
20/10/2017,70.538002,70.910004,68.867996,69.019997,24652000
23/10/2017,69.975998,69.989998,67.25,67.403999,28736500
24/10/2017,67.760002,68.559998,67.232002,67.468002,22458500
25/10/2017,67.339996,67.5,64.711998,65.167999,42970500
26/10/2017,65.556,66.045998,64.639999,65.234001,25117500
27/10/2017,63.950001,64.917999,63.332001,64.174004,34898500
30/10/2017,63.835999,64.755997,63.450001,64.015999,21272000
31/10/2017,64.045998,66.389999,64.036003,66.306,28361500
01/11/2017,66.449997,66.522003,64.052002,64.216003,42286500
02/11/2017,60.026001,61.737999,58.526001,59.852001,98957000
03/11/2017,59.900002,61.25,59.026001,61.217999,44470000
06/11/2017,61.400002,61.5,59.801998,60.556,32430000
07/11/2017,60.203999,61.299999,60.006001,61.209999,26471500
08/11/2017,61.099998,61.377998,60.259998,60.877998,23626500
09/11/2017,60.5,60.891998,59.259998,60.598,27235500
10/11/2017,60.5,61.672001,60.369999,60.598,23127000
13/11/2017,60.026001,63.360001,59.821999,63.080002,37924500
14/11/2017,63,63.27,61.380001,61.740002,28380500
15/11/2017,61.202,62.498001,60.299999,62.259998,29893500
16/11/2017,62.798,63.627998,62.259998,62.5,29110500
17/11/2017,65.134003,65.334,62.630001,63.009998,68675500
20/11/2017,62.757999,63.099998,60.950001,61.748001,41238500
21/11/2017,62.172001,63.646,61.742001,63.562,36306500
